"Data Source","World Development Indicators",

"Last Updated Date","2017-08-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Libya","LBY","Agricultural land (sq. km)","AG.LND.AGRI.K2","","111700","113830","115850","117930","119950","122030","124050","126150","128200","130250","132350","134380","136450","138480","140550","142580","144650","146730","148750","150800","151850","152920","154050","154150","154270","154350","154400","154400","154450","154550","154600","154650","154650","154750","155150","156660","156660","154500","154500","154500","154500","154500","154500","153850","153850","153850","153850","153850","153850","153510","153510","153550","153550","153500","","",
"St. Lucia","LCA","Agricultural land (sq. km)","AG.LND.AGRI.K2","","170","170","180","180","180","180","190","190","190","190","200","200","200","199","200","200","200","200","202","205","208","210","212","215","218","212","210","210","210","209","198","197","197","195","180","174","170","155","154","142","139","131","124","111","109","101","99","101","106","106","106","106","106","106","","",
"Latin America & Caribbean","LCN","Agricultural land (sq. km)","AG.LND.AGRI.K2","","5613377","5667887","5720777","5769267","5810327","5852477","5889527","5946917","6040227","6063677","6129057","6180017","6223167","6277956","6327217","6369977","6413827","6433677","6466829","6495672","6523635","6565927","6607959","6639147","6662365","6712729","6745547","6769547","6798467","6858056","6904585","6922774","6956884","6963181","7041787","7079271","7094367","7113787","7129110","7132006","7122790","7140027","7187004","7267329.3","7313855","7345029.1","7374154.9","7400715","7402950.7","7434813.7","7455651.2","7477385.6","7535044","7552120.1","","",
"Least developed countries: UN classification","LDC","Agricultural land (sq. km)","AG.LND.AGRI.K2","","7293950","7304460","7322370","7333740","7344550","7351740","7358660","7373010","7380080","7384520","7391810","7403540","7401050","7397730","7406700","7415940","7416500","7430870","7430920","7439560","7448140","7451876","7463262","7464388","7501674","7544910","7568526","7614762","7642518","7662914","7678820","7693422","7555314","7591556","7624388","7660470","7694232","7715414","7752306","7779211","7821776.2","7846517.8","7913413.7","7934673.1","8018386.2","8036475.8","8068669","8114656.2","7804754.7","7808904","7808920.3","7839681.4","7840241.1","7839972.6","","",
"Low income","LIC","Agricultural land (sq. km)","AG.LND.AGRI.K2","","4648970","4657900","4674860","4683510","4691910","4695950","4701000","4715290","4722390","4726140","4742070","4748120","4751160","4746880","4754060","4760310","4762110","4777050","4780900","4789420","4797880","4801386","4811212","4810768","4823664","4832800","4829536","4837032","4838608","4857884","4873470","4885052","4717774","4740446","4757548","4782690","4813282","4831414","4864166","4888131","4923869.2","4943340.8","4987746.7","5009006.1","5085049.2","5089775.8","5110871","5155903.2","5176255.7","5198953","5512690.7","5538605.8","5537583.5","5535257","","",
"Liechtenstein","LIE","Agricultural land (sq. km)","AG.LND.AGRI.K2","","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","80","80","80","80","70","70","70","70","70","70","70","70","70","70","70","69","69","69","69","69","68","68","68","65","63","60","60","56","53.2","","",
"Sri Lanka","LKA","Agricultural land (sq. km)","AG.LND.AGRI.K2","","17230","17070","20600","21030","21560","22050","22550","23210","23280","23330","23390","23450","23510","23570","23590","23960","24330","24690","23590","23490","23490","22960","23080","23110","23150","23260","23340","23370","23400","23390","23420","23440","23200","23230","23260","23270","23280","23290","23450","23500","23510","23560","23700","23100","25100","24400","23900","25950","25100","26200","27300","26900","27400","27400","","",
"Lower middle income","LMC","Agricultural land (sq. km)","AG.LND.AGRI.K2","","9007155.1","9037440","9064259.1","9095380.7","9134371.3","9117569.9","9147758.7","9153579.5","9197090.3","9182014.7","9169855.6","9144940","9219970","9193470","9205320","9066080","9043620","9048760","9033230","9074280","9044886","9087643.4","9076067.4","9143403.6","9225338","9318418","9393210","9439790","9496818","9503972","9513649","10424524.8","10441015","10473945","10531025","10549789.6","10687034.2","10707161.2","10769045","10791375","10785055","10813105","10725035","10743419","10746218","10775660","10814644","10815775","10464975.4","10457935.8","10179949.8","10199191.9","10197746.3","10199003.5","","",
"Low & middle income","LMY","Agricultural land (sq. km)","AG.LND.AGRI.K2","","25667280.1","25780478","25907461.1","26011840.7","26134145.3","26203510.9","26313103.7","26433935.5","26635508.3","26691533.7","26820642.6","26914142","27092277","27173954","27268634","27234504","27315174","27414780","27503370","27605642","27626304","27809123.4","27957934.4","28177559.6","28430920","28652718","28837743","28980621","29130658","29280042","29433197","35373125.8","35276101","35380050","35466881","35531304.6","35721858.2","35779395.2","35866812.9","35904336","35901660.2","35934525.8","35898011.1","36022475.1","35986559.2","36040199.8","36113949","36158591.2","35826922.1","35938685.7","35987382.5","36067260.6","36150815.5","36173963.9","","",
"Lesotho","LSO","Agricultural land (sq. km)","AG.LND.AGRI.K2","","25810","25760","25760","25780","25780","25830","25830","25330","24780","24270","23640","23590","23590","23590","23760","23590","22920","22930","23090","22960","23020","22920","22870","23010","23080","22910","23300","23430","23050","23210","23230","23360","23340","23290","23240","23260","23290","23290","23290","23340","23340","23040","23040","23140","23270","23070","23290","23620","23390","23260","23120","22853","22521","22773","","",
"Late-demographic dividend","LTE","Agricultural land (sq. km)","AG.LND.AGRI.K2","","8114925","8213088","8315602","8402330","8502244","8593591","8680765","8783696","8920768","8991754","9115717","9198652","9301029","9422504","9512197","9463383","9565055","9646413","9709390","9780117","9854317","9978724","10097769","10224963","10358386","10452878","10533044","10611743","10695954","10781342","10868480","15591393","15609797","15659112","15657044","15650607","15784834","15789600","15794507","15792989","15736486","15728381","15568072","15588488","15596864","15604823","15584021","15607983.8","15608438","15660295","15682035.5","15692037.4","15777274.1","15821710.4","","",
"Lithuania","LTU","Agricultural land (sq. km)","AG.LND.AGRI.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33890","33330","31260","34100","34110","34170","34250","34960","34180","28960","28850","25410","26043","28370","27907","26959","26721","26890","27723","28059","28422","28914","29524","","",
"Luxembourg","LUX","Agricultural land (sq. km)","AG.LND.AGRI.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1280","1280","1280","1280","1280","1290","1290","1310","1310","1307","1310.4","1312.7","1314.2","1308.8","1309.9","","",
"Latvia","LVA","Agricultural land (sq. km)","AG.LND.AGRI.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25300","25140","25400","18320","18740","17720","17490","16170","15880","15810","15950","15820","16420","17340","18550","18390","18250","18330","18050","18160","18410","18770","18720","","",
"Macao SAR, China","MAC","Agricultural land (sq. km)","AG.LND.AGRI.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Martin (French part)","MAF","Agricultural land (sq. km)","AG.LND.AGRI.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","Agricultural land (sq. km)","AG.LND.AGRI.K2","","233700","235800","238500","241100","244200","247380","249380","252380","254290","257050","268120","261700","264250","266300","269170","271500","275000","279180","280040","289300","290900","291770","292730","293840","293980","294970","296660","297440","300640","303430","303550","306160","307110","309640","307490","309660","308950","309760","306930","306520","303700","302830","308760","300410","299890","299460","299600","299810","300026","299883","301038","304030","305915","305915","","",
"Monaco","MCO","Agricultural land (sq. km)","AG.LND.AGRI.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Moldova","MDA","Agricultural land (sq. km)","AG.LND.AGRI.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25600","25570","25570","25560","25560","25560","25560","25570","25440","25390","25340","25280","25220","24990","24830","24850","24810","24720","24650","24620","24600","24610","24580","","",
"Madagascar","MDG","Agricultural land (sq. km)","AG.LND.AGRI.K2","","351450","351700","351950","352200","352450","352700","352950","353200","353500","353700","353900","354200","354400","354750","357590","357640","359290","360000","360200","360400","360750","361000","361350","361600","361950","362200","362400","362700","362950","363250","363500","363700","364900","364800","364800","365960","374900","384900","395000","405000","408430","408430","408430","408430","408930","408930","408930","410950","413950","413950","414050","414150","414150","414150","","",
"Maldives","MDV","Agricultural land (sq. km)","AG.LND.AGRI.K2","","50","50","50","50","50","50","50","50","50","50","60","60","70","70","70","70","70","70","70","70","70","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","90","100","120","120","110","90","80","80","80","80","79","79","79","79","79","","",
"Middle East & North Africa","MEA","Agricultural land (sq. km)","AG.LND.AGRI.K2","","2890240","2889290","2892120","2892960","2895530","2895600","2902140","2905520","2912640","2920450","2950960","2962840","2968120","2969830","2960500","2963830","2963080","2960210","2972040","2960480","2924016","2932353.4","2941537.4","3000203.6","3055618","3107528","3165480","3223760","3272478","3325842","3352474","3371679.8","3885800","3891180","3889660","3894034.6","3884589.2","3896426.2","3884845","3874742","3883961","3892211","3899036","3907471","3745255","3743757.5","3748024","3724107.8","3718881.6","3722773.3","3724494.6","3726984.8","3734767.4","3738742.3","","",
"Mexico","MEX","Agricultural land (sq. km)","AG.LND.AGRI.K2","","983160","981790","981090","980490","979790","979140","978390","977690","977090","976350","969380","971500","974000","975510","975510","975510","976010","981980","979980","981800","982100","983150","1010200","1010305","1014350","1014410","1025500","1030510","1040500","1051510","1061540","1061770","1061800","1061900","1061950","1063100","1063100","1063250","1063260","1063300","1065500","1065500","1065500","1065700","1065700","1065700","1067000","1067050","1067050","1067050","1067050","1067050","1067050","1067050","","",
"Marshall Islands","MHL","Agricultural land (sq. km)","AG.LND.AGRI.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","120","120","120","120","120","120","120","120","120","120","120","120","120","130","130","130","130","130","130","130","130","120","115","115","","",
"Middle income","MIC","Agricultural land (sq. km)","AG.LND.AGRI.K2","","21018313.1","21122581","21232604.1","21328333.7","21442239.3","21507564.9","21612107.7","21718649.5","21913122.3","21965397.7","22078576.6","22166026","22341121","22427078","22514578","22474198","22553068","22637734","22722474","22816226","22828428","23007741.4","23146726.4","23366795.6","23607260","23819922","24008211","24143593","24292054","24422162","24559731","30512117.8","30581051","30662728","30732657","30767968.6","30927990.2","30968465.2","31022970.9","31027899","30989575","31002999","30922228.4","31025233","30913624","30962728","31015102","31015583","30663666.4","30753074.7","30487956.8","30541968.8","30628909","30653798.9","","",
"Macedonia, FYR","MKD","Agricultural land (sq. km)","AG.LND.AGRI.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13070","12970","12960","12870","12900","12830","12910","12820","12350","12420","13340","13010","12620","12280","12240","10760","10630","10130","11190","11180","12670","12600","12630","","",
"Mali","MLI","Agricultural land (sq. km)","AG.LND.AGRI.K2","","316980","317030","317080","317130","317180","317220","317280","317280","317280","317780","317780","317780","317780","318280","318780","320770","320750","320750","320800","320800","320830","320830","320830","320830","321030","321060","321060","321230","321230","321280","321380","322400","331400","352500","354190","366500","376500","376500","376500","386000","392740","396840","407260","397910","403920","404660","405970","405510","410454","410510","416510","416510","412010","412010","","",
"Malta","MLT","Agricultural land (sq. km)","AG.LND.AGRI.K2","","180","170","160","150","140","140","140","140","140","140","140","140","140","140","130","130","140","140","140","130","130","130","130","130","130","130","130","130","130","130","130","130","130","130","110","110","100","90","90","90","100","100","104","100","93","92","93","93","93","103.3","103.3","103","102.3","102.3","","",
"Myanmar","MMR","Agricultural land (sq. km)","AG.LND.AGRI.K2","","104300","104700","105070","106200","105830","107400","107670","107680","107670","108010","108050","108050","103220","103330","103470","103620","103560","103670","103770","103850","104210","104410","104380","104220","104290","104350","104220","103730","103950","104280","104160","103980","104460","104210","104500","105040","105190","105130","106090","108120","109390","109250","109820","110820","112630","115970","119840","122770","124410","125260","125580","125490","125870","126450","","",
"Middle East & North Africa (excluding high income)","MNA","Agricultural land (sq. km)","AG.LND.AGRI.K2","","2008890","2007810","2010260","2010780","2013250","2012980","2019300","2022340","2029090","2036390","2066410","2077770","2082400","2083300","2073560","2076290","2074960","2071520","2082800","2070660","2033586","2041353.4","2048287.4","2055253.6","2058488","2058698","2064630","2071350","2068448","2069362","2093844","2111959.8","2125620","2130810","2129270","2133624.6","2124129.2","2135946.2","2123195","2111660","2120670","2127860","2133877","2142603","1980348","1979530","1983724","1960749","1958304","1962605","1964395","1967363.6","1975717.1","1976017","","",
"Montenegro","MNE","Agricultural land (sq. km)","AG.LND.AGRI.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5150","5140","5130","5140","5120","5130","5130","2231.3","2303.2","","",
"Mongolia","MNG","Agricultural land (sq. km)","AG.LND.AGRI.K2","","1406830","1406830","1406830","1406810","1406830","1406830","1406830","1406830","1406520","1406840","1406830","1406830","1406830","1406830","1406830","1255520","1259750","1259170","1247130","1245870","1245190","1245250","1249760","1246070","1245870","1245310","1248890","1252340","1255320","1256560","1261300","1235900","1191240","1184690","1184690","1184690","1288910","1291320","1302820","1304700","1297040","1296950","1137960","1136818","1134494","1142480","1142080","1141440","1136760","1135880","1135070","1133958","1133099","1129365","","",
"Northern Mariana Islands","MNP","Agricultural land (sq. km)","AG.LND.AGRI.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","40","40","40","40","40","40","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","","",
"Mozambique","MOZ","Agricultural land (sq. km)","AG.LND.AGRI.K2","","466490","466600","466700","466780","466880","466940","467200","468200","469240","470090","470090","470280","470800","470800","471000","471000","471000","471000","471000","471000","471500","472300","472300","473300","473800","474300","475300","475800","476300","476800","477300","477500","477500","478000","478800","479850","481350","482350","481900","481500","482500","487000","487500","488500","492500","491500","494500","496500","497700","499500","499500","499500","499500","499500","","",
"Mauritania","MRT","Agricultural land (sq. km)","AG.LND.AGRI.K2","","395220","395220","395230","395230","395230","395230","395230","395230","395330","395330","394930","394930","394800","394500","394460","394490","394500","394460","394490","394640","394840","395040","395240","395350","395550","395750","395950","396150","396350","396560","396660","396780","396900","397300","397600","397500","397500","397500","397500","397500","397120","396620","396620","396610","396610","396610","396610","396610","396510","397110","396610","396610","397110","397110","","",
"Mauritius","MUS","Agricultural land (sq. km)","AG.LND.AGRI.K2","","990","1000","1000","1000","1010","990","1050","1110","1110","1120","1120","1130","1130","1130","1130","1140","1140","1140","1140","1140","1140","1140","1140","1140","1140","1140","1140","1130","1120","1110","1100","1090","1070","1050","1040","1030","1020","1020","1000","1010","1020","1000","990","980","960","940","920","910","910","910","890","870","860","860","","",
"Malawi","MWI","Agricultural land (sq. km)","AG.LND.AGRI.K2","","32000","33000","33500","34000","36030","36530","36050","37070","37570","37070","38570","39070","39570","39600","39100","39120","39150","39680","39700","38300","39300","40300","39400","39900","40050","41050","41100","41150","41650","42180","43200","42700","42700","40700","42800","43800","44300","45800","46800","47300","48300","48300","49800","49800","51800","52850","49850","54350","54850","56850","55850","57350","57900","57900","","",
"Malaysia","MYS","Agricultural land (sq. km)","AG.LND.AGRI.K2","","31185","31878","33142","33770","35944","36021","36675","38086","38648","39574","40347","41332","42147","42745","43844","44664","45984","47500","48673","49617","51010","51614","52587","52668","55050","58614","62050","65039","68280","68457","68760","68848","69787","70613","70517","70623","70557","70369","70210","70213","69839","69921","70819","71030","71426","71117","72155","72009","73030","74660","76190","77350","78390","78390","","",
"North America","NAC","Agricultural land (sq. km)","AG.LND.AGRI.K2","","5173344","5139443","5115243","5092204","5062104","5060144","5054114","5055383","5048293","5034213","5019613","5009133","4997663","4986773","4986303","4985833","4982493","4955743","4950663","4945593","4940523","4976753","4980633","4984503","4988383","4992243","4947603","4947463","4947303","4947163","4947013","4932433","4908223","4890733","4881334","4843614","4828294","4824224","4816104","4820124","4824464","4805814","4814604","4790724","4793534","4751692","4781404","4779237","4739012","4716951","4672666","4741528","4711930","4734609.9","","",
"Namibia","NAM","Agricultural land (sq. km)","AG.LND.AGRI.K2","","386420","386420","386420","386460","386460","386460","386490","386490","386490","386510","386530","386530","386530","386530","386530","386550","386550","386560","386560","386570","386570","386570","386620","386620","386620","386620","386620","386620","386620","386620","386620","386620","387000","387500","388200","388200","388200","388200","388200","388200","388200","388200","388200","388200","388200","388200","388080","388080","388080","388090","388090","388090","388090","388090","","",
"New Caledonia","NCL","Agricultural land (sq. km)","AG.LND.AGRI.K2","","2610","2610","2610","2620","2620","2620","2620","2630","2630","2630","2630","2640","2640","2640","2640","2650","2650","2650","2650","2650","2650","2720","2800","2900","2780","2670","2560","2460","2360","2320","2290","2300","2300","2310","2330","2350","2380","2400","2430","2450","2480","2500","2436","2366","2301","2246","2181","2106","2056","1986","1903","1843","1842","1842.4","","",
"Niger","NER","Agricultural land (sq. km)","AG.LND.AGRI.K2","","315000","315000","315000","315000","315000","315000","315000","321770","321760","312000","312300","311770","308140","297800","297800","297800","297800","297800","299580","307200","302800","303600","310100","307800","307800","312800","310120","313000","314050","330470","341050","350000","350000","350000","360000","360000","360000","360000","370000","370000","380000","380000","384120","384720","429650","429890","437820","437820","437820","439820","444820","447820","447820","447820","","",
"Nigeria","NGA","Agricultural land (sq. km)","AG.LND.AGRI.K2","","531765.1","539000","560169.1","569710.7","590701.3","565059.9","582128.7","581719.5","638140.3","610304.7","594775.6","551500","603000","561500","551500","551500","504930","489550","482340","504380","472190","484030","486930","526060","549240","600010","603410","607880","611820","615860","639290","644470","650650","662160","684000","686000","688000","696500","709000","713000","695000","706000","717500","718000","727000","733000","737000","727000","690000","700000","710000","720000","708000","708000","","",
"Nicaragua","NIC","Agricultural land (sq. km)","AG.LND.AGRI.K2","","34300","34300","34680","34880","35180","35800","35800","35800","35850","35850","36050","36100","36200","36300","36300","36300","37300","37350","37400","37450","38270","38290","38300","38830","38550","38570","38890","39400","39930","40250","40600","41200","41900","42200","45530","46540","48080","49130","50180","51410","51750","52780","53360","52370","53060","52000","51850","51200","51050","50260","50709","51030","50650","50650","","",
"Netherlands","NLD","Agricultural land (sq. km)","AG.LND.AGRI.K2","","23140","23030","22890","22680","22550","22450","22390","22270","22100","21930","21280","21140","21010","20940","20820","20730","20600","20460","20340","20200","20110","20050","20090","20160","20190","20150","20140","20120","20040","20060","19910","19860","19880","19710","19640","19810","19660","19730","19670","19560","19310","19490","19230","19494","19377","19196","19144","19293","19174","18723","18584","18417","18476","18391","","",
"Norway","NOR","Agricultural land (sq. km)","AG.LND.AGRI.K2","","10340","10310","10280","10190","10110","10050","10000","9940","9860","9540","9310","9100","9040","9010","8980","8960","8990","9000","9540","9360","9360","9420","9450","9540","9570","9690","9700","9760","9910","9760","10100","10030","10130","10300","11270","11320","10380","10470","10380","10420","10470","10460","10400","10400","10360","10350","10320","10248","10142.6","10059","9990","9928","9871.3","9867","","",
"Nepal","NPL","Agricultural land (sq. km)","AG.LND.AGRI.K2","","35530","35530","35630","35530","35530","35530","35670","35670","35670","37020","37020","38220","39530","39940","40090","40250","40400","40550","40700","40850","41030","41066","41102","41138","41164","41320","41346","41382","41408","41444","41470","41582","41694","41806","41918","42030","42142","42254","42366","42491","42590","42410","42270","42180","42020","41850","41660","41520","41400","41260","41266","41210","41210","41210","","",
"Nauru","NRU","Agricultural land (sq. km)","AG.LND.AGRI.K2","","3","3","3","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","","",
"New Zealand","NZL","Agricultural land (sq. km)","AG.LND.AGRI.K2","","157770","158570","158930","159160","158520","158280","158440","158400","156830","156770","156700","160610","160220","159990","163790","167150","166110","167970","166840","168070","173320","167290","167300","165790","164460","165090","164700","163350","162560","161820","161190","159600","159190","151160","149750","149040","149030","149030","149030","154130","154180","120990","118580","118900","117120","113750","114870","113740","114900","114080","113710","112094","111060","111160","","",
"OECD members","OED","Agricultural land (sq. km)","AG.LND.AGRI.K2","","13470284","13455945","13461535","13457045","13458453","13465151","13481489","13457315","13497870","13487879","13461780","13468626","13479700","13471462","13459871","13469170","13370576","13329078","13362961","13375679","13369191","13335095","13279436","13306849","13312315","13295140","13266530","13275186","13236337","13209044","13172175","13218190","13192565","13252947","13156174","13136004","13081629","13098792","12984638","13016622","13010398","12861347","12771389.3","12760376","12808011","12646903","12556735.2","12472674.2","12336022.6","12190565.7","12240839.4","12260911.2","12138146.4","12251818.7","","",
"Oman","OMN","Agricultural land (sq. km)","AG.LND.AGRI.K2","","10350","10350","10350","10360","10360","10360","10380","10400","10400","10420","10420","10440","10450","10460","10470","10480","10490","10510","10510","10510","10510","10510","10550","10590","10610","10670","10700","10730","10770","10800","10800","10830","10720","10720","10710","10710","10700","10710","10710","11730","11736","12734","13730","14720","14650","14630","14650","14670","14740","14726","14760","14728","14685","14688","","",
"Other small states","OSS","Agricultural land (sq. km)","AG.LND.AGRI.K2","","809000","809260","809450","809730","809980","810290","810220","809970","809040","807240","806760","806540","806302","805360","802853","803109","802911","803243","802295","801655","802009","802430","802520","802860","803028","803112","803604","803554","803164","803396","803132","816556","817887","816684","816871","817462","817912","817352","817992","819487","818105","815989","816796","817427","819036","823064.5","822725","823799.8","824637.6","824196.3","824564.8","824067.4","820726.4","822417.3","","",
"Pakistan","PAK","Agricultural land (sq. km)","AG.LND.AGRI.K2","","357300","358400","358800","363550","372350","374150","374700","371700","357000","358650","354850","355050","364000","357400","360350","357120","359130","364170","363370","374160","365040","385090","364090","375000","371180","355710","366710","353470","358600","352060","352700","353800","357500","357900","360260","361720","366690","367600","367560","366980","369720","368840","368420","360450","359650","361350","360130","353130","352770","352420","359360","360630","362800","362520","","",
"Panama","PAN","Agricultural land (sq. km)","AG.LND.AGRI.K2","","16240","16340","16440","16480","16580","16680","16690","16790","16870","16840","17130","17430","17630","17850","18060","18270","18490","18500","18520","18550","18820","19140","19410","19660","19950","20200","20450","20700","21000","21240","21340","21500","21500","21350","21320","21320","21400","21490","21570","22300","22404","22378","22352","22326","22300","22244","22318","22292","22316","22663.9","22630","22570","22570","22570","","",
"Peru","PER","Agricultural land (sq. km)","AG.LND.AGRI.K2","","169560","170990","174300","176680","177500","176750","176840","177800","178190","179130","179220","182720","183190","183190","183290","184190","185420","185940","186300","186790","187040","187540","188020","188530","188650","188940","189190","189290","189390","218360","218960","219560","219660","216379","218890","221220","223350","226030","228260","231240","231070","227550","228880","229060","232360","234120","235680","237150","239460","240230","241040","243320","243690","243306","","",
"Philippines","PHL","Agricultural land (sq. km)","AG.LND.AGRI.K2","","77130","77920","78720","81520","81320","81300","83050","82810","82530","83100","82790","84300","85960","88620","91920","96740","100900","101400","103940","106250","106700","107400","107800","108200","109100","109800","110200","110600","111000","111400","111570","111150","110650","110150","110150","111050","113350","112850","112350","112340","111840","111350","112400","114700","113550","115800","117900","120100","121000","121000","122600","124300","124400","124400","","",
"Palau","PLW","Agricultural land (sq. km)","AG.LND.AGRI.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","","",
"Papua New Guinea","PNG","Agricultural land (sq. km)","AG.LND.AGRI.K2","","4950","4950","4950","5050","5050","5110","5560","5850","6160","6410","6690","6790","6890","6980","7140","7240","7350","7560","7680","7720","7780","7700","7670","7750","8080","8300","8460","8630","8700","8770","8820","8870","8930","8980","9340","9550","9620","9740","9930","10050","10100","10000","10050","10200","10300","10400","10400","11900","11900","11900","11900","11900","11900","11900","","",
"Poland","POL","Agricultural land (sq. km)","AG.LND.AGRI.K2","","203220","202620","201840","201300","199460","199470","198190","197770","195570","195430","195080","193710","193260","192570","192240","191990","191590","191110","190480","190070","189100","188910","188790","189390","189140","188790","188690","188200","188070","187930","187530","187430","187150","187070","186220","184740","184570","184430","184350","184130","177880","168990","161690","163270","159060","159570","154690","156010","156190","144490","147790","145290","144100","144240","","",
"Pre-demographic dividend","PRE","Agricultural land (sq. km)","AG.LND.AGRI.K2","","7334575.1","7350690","7389229.1","7410110.7","7439191.3","7418399.9","7442538.7","7456849.5","7520340.3","7496414.7","7497605.6","7462720","7517700","7475460","7478930","7490140","7448310","7448580","7443920","7475770","7455120","7474590","7492680","7539040","7610430","7706110","7732470","7784210","7817270","7839680","7884890","7918260","8044540","8096100","8147120","8176090","8205480","8234910","8281710","8302970","8327985.2","8366000.8","8432606.7","8441367.3","8535530.2","8546586.3","8573312.2","8604608.8","8250551.7","8261705.8","8274021.9","8314485.1","8310034.1","8309293.6","","",
"Puerto Rico","PRI","Agricultural land (sq. km)","AG.LND.AGRI.K2","","6160","6010","6050","5850","6090","5810","5680","5660","5620","5520","5300","5150","4920","4940","4930","4930","4910","4950","4860","4750","4670","4670","4660","4640","4610","4630","4620","4620","4500","4350","4200","4100","3110","3090","3090","3090","2910","2725","2599","2472","2347","2220","2160","2100","2010","1949","1890","1906","1922","1937","1953","1968","1977","1977","","",
"Korea, Dem. People’s Rep.","PRK","Agricultural land (sq. km)","AG.LND.AGRI.K2","","23800","23800","23800","23800","23800","23800","23800","23800","23800","23800","23800","23800","24300","24300","24300","24300","24300","24300","24300","25150","25150","25150","25150","25150","25150","25150","25150","25150","25150","25180","25300","25300","25500","26500","26500","25500","25500","25500","25500","25500","25500","25500","25500","25500","26000","26000","26000","26500","26700","26800","26300","26300","26300","26300","","",
"Portugal","PRT","Agricultural land (sq. km)","AG.LND.AGRI.K2","","38750","38810","38870","38930","38990","39050","39110","39130","39230","39290","39350","39410","39460","39510","39560","39610","39660","39710","39760","39790","39820","39850","39880","39910","39940","39970","40010","40050","40050","39630","39200","38780","39590","39520","39240","37300","35820","37700","38630","38300","37950","38470","38110","38170","38210","37640","36609.2","37258.6","36955.8","36541.7","36493.6","36644.1","37164.8","37016","","",
"Paraguay","PRY","Agricultural land (sq. km)","AG.LND.AGRI.K2","","104110","105220","106400","107720","108950","110200","111210","112170","113170","114170","115180","116180","117660","120330","122540","124740","126840","124050","126150","130350","134570","138930","144300","149670","154990","165510","170480","170850","171220","171590","171950","173450","173450","160320","164580","190210","191710","196020","200830","203250","202000","195810","193460","196400","199400","202350","205300","208370","211000","212300","213900","215000","216850","218850","","",
"West Bank and Gaza","PSE","Agricultural land (sq. km)","AG.LND.AGRI.K2","","3660","3660","3660","3650","3650","3660","3670","3670","3670","3680","3680","3680","3680","3690","3690","3710","3730","3750","3740","3750","3790","3800","3820","3830","3800","3800","3780","3780","3770","3750","3720","3700","3700","3700","3760","3720","3700","3490","3640","3720","3690","3700","3670","3670","3638","3577","3535","3502","2993","2479","2595","2719.7","2709.7","2980","","",
"Pacific island small states","PSS","Agricultural land (sq. km)","AG.LND.AGRI.K2","","5113","5133","5193","5193","5284","5294","5224","5214","5254","5319","5324","5424","5474","5534","5654","5834","5974","6084","6189","6254","6414","6554","6680","6814","6984","7098","7241","7454","7396","7574","8139","8279","8279","8269","8409","8429","8419","8339","8347","8329","8356","8376","8416","8416","8486","8548","8542","8567","8587","8622","8622","8632","8627","8627","","",
"Post-demographic dividend","PST","Agricultural land (sq. km)","AG.LND.AGRI.K2","","11795144","11782405","11782545","11786205","11786703","11790341","11809869","11782675","11815320","11812399","11790260","11793916","11803250","11792932","11783171","11791290","11692856","11645878","11674161","11689649","11684381","11666645","11590296","11608114","11605465","11587730","11544430","11550946","11495717","11462064","11424997","12029362","11977507","12035629","11958526","11936116","11884221","11887844","11771640","11790044","11779100","11632047","11551534.3","11531082","11583637.6","11428106.5","11349198.2","11268041.2","11132082.6","10994714.4","11049015","11070293.5","10948492.4","11059059.7","","",
